nm0595936	Geethu Mohandas	1981
nm0227473	Dimitris Dimogerontakis	1947
nm0767763	Renato Savino	1926
nm0203551	Michael Davie	1975
nm0348802	Paul Gury	1888
nm0222829	Tony Devlin	1978
nm0368674	Masami Hata	1942
nm0465851	Lionel Kopp	1962
nm3061633	Emma Dante	1967
nm0875746	Wanda Tuchock	1898
nm1871490	Paul Kampf	1969
nm6549424	David Maler	1990
nm0457246	Ephraim Kishon	1924
nm0888931	Johan Vandewoestijne	1961
nm1500528	Zachary Sluser	1981
nm0316227	Petros Giannakos	1911
nm2940451	Petra Weisenburger	1958
nm0935644	Stan Winston	1946
nm0153999	Philippe Chatel	1948
nm1024050	Edoardo Bruno	1928
nm0065007	Demián Bichir	1963
nm0637996	Rita Nunes	1975
nm4524730	J Orion Liptak	1985
nm0834898	Hunt Stromberg	1894
nm1857380	Metin Balekoglu	1970
nm0629309	Maurizio Nichetti	1948
nm2677913	Vasanthabalan	1972
nm1086487	Cãtãlin Saizescu	1975
nm0120439	Boris Buneev	1921
nm1113949	Ivan Fichev	1911
nm6523096	Andrey Dobrovolskiy	1950
nm2074173	Atil Inaç	1975
nm0472213	Jeremy Joe Kronsberg	1937
nm3868633	Severin Fiala	1985
nm0695462	Hawley Pratt	1911
nm0917857	F. Harmon Weight	1887
nm0477823	Ulrich Köhler	1969
nm0246986	Atef El-Tayeb	1947
nm0289771	Régis Franc	1948
nm0945520	Kôji Yamamura	1964
nm5360208	Robert Watts	1923
nm1205537	Àlex Lora	1979
nm0700872	Puri Jagannadh	1966
nm3891975	Nicholas Bushman	1984
nm0385642	Charles Hines	1892
nm9879118	Satish Davara	1980
nm0717261	Ernest Reid	1918
nm0351179	Manuel Gómez	1956
nm2126131	Graham M. Sheppard	1983
nm0185277	Vincent G. Cox	1933
nm6507001	Darius Burke	1994
nm2020037	Chris Weidman	1979
nm0804080	Slobodan Skerlic	1964
nm0001418	David Keith	1954
nm1484928	Neil Johnson	1967
nm2798718	Kirsikka Saari	1973
nm1496059	Peter Scholl	1965
nm9010589	Andrew Kiaroscuro	1989
nm1942836	Martin Durkin	1962
nm0176472	Miguel Contreras Torres	1899
nm1637831	Erik Robert	1977
nm2269014	David Matheny	1985
nm0006761	Paul J. Smith	1906
nm0842944	Hans-Jürgen Syberberg	1935
nm0095613	Julian Boote	1967
nm2836167	Viktor Oszkar Nagy	1980
nm0001486	Sidney Lumet	1924
nm0436132	László Kalmár	1900
nm0768132	Arthur H. Sawyer	1877
nm0874515	Pawel Trzaska	1958
nm1258229	Hans Helmut Prinzler	1938
nm13228319	Markiian Miroshnychenko	1996
nm0668132	Michael Paxton	1957
nm0848211	Konrad Tallroth	1872
nm0102722	Gérard Brach	1927
nm0016089	Zeki Alasya	1943
nm1112665	Daniel J. Woolsey	1975
nm0093734	Joe Bonamassa	1977
nm0528718	Jonathan Lynn	1943
nm0210918	Josse De Pauw	1952
nm0959809	Anders Ångström	1921
nm3807784	Emil Nava	1985
nm0504642	Louis Leterrier	1973
nm0916242	Peter Webb	1942
nm3265510	Mark Cantu	1978
nm0550892	George Marshall	1891
nm0689565	Jack Pollexfen	1908
nm1119206	Viktor Okuntsov	1924
nm4235049	Ognjen Glavonic	1985
nm0630571	Nada van Nie	1967
nm0672127	Edmund Penney	1926
nm1017494	Ganesh Acharya	1971
nm1851320	Sean Paul Lockhart	1986
nm0635956	Yuri Norstein	1941
nm3361196	Daniele Gangemi	1980
nm0276532	Yavuz Figenli	1936
nm0499253	Johnny Legend	1949
nm0762761	Chiara Sani	1963
nm0613634	Aleksandr Muratov	1952
nm0235572	Vladimir Dovgan	1929
nm0188701	George Crone	1894
nm1433660	Tom Fisher	1968
nm0748207	Sergio Rubini	1959
nm0554408	Sergey Martyanov	1954
nm1995558	Blake Leibel	1981
nm1942158	Daniel Rodríguez Risco	1959
nm0511798	Viveca Lindfors	1920
nm5657571	Asli Özarslan	1986
nm0724858	Roger Richebé	1897
nm14242627	Susie Stellar	1994
nm0272059	Leslie Fenton	1902
nm0004464	Heinz Rühmann	1902
nm0301580	Nader Galal	1941
nm0526645	Dick Lundy	1907
nm7767125	Boris Lutsenko	1937
nm2653712	Shannon Keith	1973
nm0119607	Diep Bui	1973
nm6376092	Olivia Krochko	1994
nm0128345	Jae-Hyun Cho	1965
nm0475784	Maunu Kurkvaara	1926
nm2286752	Nina Pourlak	1973
nm1164381	Steven Earl-Edwards	1946
nm4763006	Alexandre Ottoveggio	1966
nm1536915	Tyler Wayne	1977
nm0139535	Fabio Carpi	1925
nm0511284	Sven Lindahl Ranelf	1966
nm6173629	Andy van Veen	1995
nm0685639	Camila Pitanga	1977
nm0464579	Gleb Komarovsky	1923
nm0903177	Nicolas Wackerbarth	1973
nm0196380	Randhir Kapoor	1947
nm4673992	Alice Gruia	1983
nm0854021	Rolf Teigler	1957
nm1217514	Rodrigo Ordoñez	1972
nm0878756	Tom Tykwer	1965
nm0589228	Robert Ellis Miller	1927
nm1126345	Lon Kang	1968
nm0002887	Alan Myerson	1936
nm0362682	Jonathan Hardy	1940
nm1272104	Xin Jin	1952
nm0371868	Attila Hazai	1967
nm10303999	Pascal Lécureux	1989
nm0281653	Edward Fleming	1924
nm3819854	Om Raut	1981
nm1368161	Roberto Testa	1966
nm4251398	Júlia Szederkényi	1963
nm0596710	Jorge Molina	1966
nm2325602	Louise Linton	1980
nm3716104	Darren Bolton	1979
nm7415410	Wei-Hao Cheng	1984
nm3959143	Ann Carolin Renninger	1979
nm1923991	Romina Paula	1979
nm0497961	Norman Lee	1898
nm1802024	M.K. Asante	1982
nm7626019	Domee Shi	1989
nm0146209	Darrell Catling	1909
nm0033276	Garnik Arazyan	1936
nm1215991	Mira Brtka	1930
nm3568020	Marcelo Antunez	1972
nm0756141	Duygu Sagiroglu	1932
nm0004591	John Fasano	1961
nm9550754	Zita Erffa	1986
nm4062509	Isabelle Prim	1984
nm0173122	Lourdes Reynolds	1965
nm0720411	Dale Resteghini	1968
nm3597365	I. Ahmed	1973
nm1458527	Pablo Fendrik	1973
nm0722581	Trevor D. Rhone	1940
nm0001472	Jet Li	1963
nm1210722	Ali Sajadi	1988
nm9767356	Jorge Porras	1982
nm0841201	Carl Henrik Svenstedt	1937
nm0765924	Paolo Sassanelli	1958
nm2330862	Michael Charron	1979
nm0300418	Clarisse Gabus	1949
nm1182497	Juan Manuel Soler Palavicini	1950
nm3146762	Baris Atay	1981
nm6522481	Kundan Sad	1990
nm0160280	Al Christie	1881
nm0087399	Mark Blandford	1942
nm0643401	Jerzy Oblamski	1937
nm0900238	Piero Vivarelli	1927
nm0905818	Bruce Wagner	1954
nm0813301	Cary Solomon	1958
nm1884576	Melis Birder	1971
nm0015168	Masayuki Akehi	1932
nm0324506	Curt Goetz	1888
nm0756476	Saifudin Saif	1922
nm2835958	Aleksander U. Serigstad	1985
nm0888186	Richard Van Vleet	1942
nm0478137	Siegfried Kühn	1935
nm0132108	Pierfrancesco Campanella	1965
nm0788860	Aribam Syam Sharma	1939
nm0957760	Wojciech Zóltowski	1947
nm0272749	Michel Fermaud	1921
nm0912817	Edward Warren	1856
